Position,Velocity,Acceleration,Jerk,Heading,DeltaTime,X,Y
250.801, 18.580, -33.855, 31.278, 0.002, 5.600, 248.283, 39.995
251.160, 17.916, -33.231, 31.211, 0.002, 5.620, 248.641, 39.996
251.505, 17.264, -32.608, 31.144, 0.002, 5.640, 248.987, 39.996
251.837, 16.624, -31.986, 31.078, 0.002, 5.660, 249.319, 39.997
252.157, 15.997, -31.366, 31.012, 0.001, 5.680, 249.639, 39.997
252.465, 15.382, -30.747, 30.946, 0.001, 5.700, 249.947, 39.998
252.761, 14.779, -30.130, 30.882, 0.001, 5.720, 250.242, 39.998
253.044, 14.189, -29.513, 30.818, 0.001, 5.740, 250.526, 39.998
253.317, 13.611, -28.898, 30.755, 0.001, 5.760, 250.798, 39.999
253.577, 13.045, -28.284, 30.693, 0.001, 5.780, 251.059, 39.999
253.827, 12.492, -27.672, 30.633, 0.001, 5.800, 251.309, 39.999
254.066, 11.950, -27.060, 30.573, 0.001, 5.820, 251.548, 39.999
254.295, 11.421, -26.450, 30.516, 0.001, 5.840, 251.776, 39.999
254.513, 10.905, -25.841, 30.459, 0.000, 5.860, 251.994, 40.000
254.721, 10.400, -25.232, 30.405, 0.000, 5.880, 252.202, 40.000
254.919, 9.908, -24.625, 30.352, 0.000, 5.900, 252.401, 40.000
255.108, 9.427, -24.019, 30.300, 0.000, 5.920, 252.589, 40.000
255.287, 8.959, -23.414, 30.251, 0.000, 5.940, 252.768, 40.000
255.457, 8.503, -22.810, 30.203, 0.000, 5.960, 252.938, 40.000
255.618, 8.058, -22.207, 30.157, 0.000, 5.980, 253.100, 40.000
255.770, 7.626, -21.605, 30.113, 0.000, 6.000, 253.252, 40.000
255.915, 7.206, -21.004, 30.070, 0.000, 6.020, 253.396, 40.000
256.051, 6.798, -20.403, 30.030, 0.000, 6.040, 253.532, 40.000
256.179, 6.402, -19.803, 29.991, 0.000, 6.060, 253.660, 40.000
256.299, 6.018, -19.204, 29.954, 0.000, 6.080, 253.781, 40.000
256.412, 5.646, -18.606, 29.919, 0.000, 6.100, 253.894, 40.000
256.518, 5.286, -18.008, 29.886, 0.000, 6.120, 253.999, 40.000
256.616, 4.938, -17.411, 29.855, 0.000, 6.140, 254.098, 40.000
256.708, 4.601, -16.814, 29.826, 0.000, 6.160, 254.190, 40.000
256.794, 4.277, -16.218, 29.798, 0.000, 6.180, 254.276, 40.000
256.873, 3.965, -15.623, 29.772, 0.000, 6.200, 254.355, 40.000
256.946, 3.664, -15.028, 29.748, 0.000, 6.220, 254.428, 40.000
257.014, 3.375, -14.433, 29.726, 0.000, 6.240, 254.496, 40.000
257.076, 3.099, -13.839, 29.705, 0.000, 6.260, 254.558, 40.000
257.133, 2.834, -13.246, 29.686, 0.000, 6.280, 254.614, 40.000
257.184, 2.581, -12.652, 29.668, 0.000, 6.300, 254.666, 40.000
257.231, 2.339, -12.059, 29.652, 0.000, 6.320, 254.713, 40.000
257.273, 2.110, -11.466, 29.637, 0.000, 6.340, 254.755, 40.000
257.311, 1.893, -10.874, 29.623, 0.000, 6.360, 254.793, 40.000
257.345, 1.687, -10.282, 29.611, 0.000, 6.380, 254.826, 40.000
257.375, 1.493, -9.690, 29.600, 0.000, 6.400, 254.856, 40.000
257.401, 1.311, -9.098, 29.591, 0.000, 6.420, 254.883, 40.000
257.424, 1.141, -8.506, 29.582, 0.000, 6.440, 254.905, 40.000
257.443, 0.983, -7.915, 29.575, 0.000, 6.460, 254.925, 40.000
257.460, 0.836, -7.323, 29.568, 0.000, 6.480, 254.942, 40.000
257.474, 0.702, -6.732, 29.563, 0.000, 6.500, 254.956, 40.000
257.486, 0.579, -6.141, 29.558, 0.000, 6.520, 254.967, 40.000
257.495, 0.468, -5.550, 29.554, 0.000, 6.540, 254.977, 40.000
257.502, 0.369, -4.959, 29.551, 0.000, 6.560, 254.984, 40.000
257.508, 0.281, -4.368, 29.548, 0.000, 6.580, 254.990, 40.000
257.512, 0.206, -3.777, 29.546, 0.000, 6.600, 254.994, 40.000
257.515, 0.142, -3.186, 29.545, 0.000, 6.620, 254.997, 40.000
257.517, 0.090, -2.595, 29.544, 0.000, 6.640, 254.998, 40.000
257.518, 0.050, -2.004, 29.543, 0.000, 6.660, 254.999, 40.000
257.518, 0.022, -1.414, 29.542, 0.000, 6.680, 255.000, 40.000
257.518, 0.005, -0.823, 29.542, 0.000, 6.700, 255.000, 40.000
257.518, 0.000, -0.264, 27.955, 0.000, 6.720, 255.000, 40.000
